GID_2,NAME_2,impact_feature_count,impact_area_km2,pop_exposed,pop_total
VEN.7.2_1,CarlosArevalo,135,0.016025343813621414,6551.395149230957,158154.92533367872
VEN.24.11_1,SanFelipe,133,0.015599318120376952,12109.579048156738,101301.86560821533
VEN.24.12_1,Sucre,128,0.018163467359907506,4024.4376525878906,20650.55811023712
VEN.7.3_1,DiegoIbarra,124,0.02033812224747568,24450.713806152344,99906.64024353027
VEN.16.13_1,LosSalias,120,0.020416275032945748,24661.365295410156,71874.69134521484
VEN.8.5_1,LimaBlanco,120,0.014358355232034646,2028.2742748260498,10957.135751247406
VEN.16.1_1,Acevedo,111,0.010462393307437683,3460.067078590393,82979.88849925995
VEN.16.18_1,SimónBolívar,107,0.010793292158797228,7852.310836791992,51937.84932899475
VEN.16.8_1,CristóbalRojas,102,0.013325412965079202,39589.06188964844,150336.847114563
VEN.16.11_1,Independencia,91,0.010173967167269265,33140.58767700195,130079.71506404877
VEN.24.10_1,Peña,87,0.007605704936123398,7305.055152893066,109772.56501483917
VEN.8.3_1,Falcón,85,0.012214217462380364,17262.099643707275,110903.47310572863
VEN.4.13_1,SantiagoMariño,82,0.009577193172448283,24754.38899230957,235181.5185699463
VEN.16.15_1,PazCastillo,79,0.007445676752710732,14067.572219848633,127203.21228027344
VEN.4.9_1,MarioBriceñoIragorry,74,0.033117694927079125,31019.565185546875,94360.90391540527
VEN.14.6_1,Palavecino,70,0.008013020538280548,9365.646583557129,50352.13872528076
VEN.13.8_1,Monagas,69,0.004237674702662466,2704.8213081359863,33736.65927171707
VEN.4.6_1,JoséFélixRibas,69,0.009831941034269194,10882.826732635498,135553.38607788086
VEN.24.3_1,Bruzual,64,0.007383036111922987,4077.812629699707,72524.22497814894
VEN.24.4_1,Cocorote,48,0.0054082838998852625,4448.602203369141,43520.58118247986
VEN.4.14_1,SantosMichelena,43,0.0042514475308829455,2069.3553466796875,34517.06073760986
VEN.4.3_1,FranciscoLinares,43,0.00866781254687749,27479.518798828125,116326.16943359375
VEN.4.11_1,SanCasimiro,40,0.003259297239802568,2417.465850830078,25006.020151138306
VEN.24.5_1,Independencia,37,0.006314651223879862,8305.658020019531,61410.84077453613
VEN.4.8_1,Libertador,35,0.011377044549634856,9287.855834960938,75401.017578125
VEN.24.2_1,Bolívar,34,0.0023629753385820576,1085.8138160705566,32781.66659402847
VEN.13.11_1,Roscio,34,0.004871170703614325,2695.1026096343994,115166.20711374283
VEN.7.10_1,Montalbán,32,0.0038044386243892845,1467.8522720336914,26220.65193939209
VEN.14.7_1,SimónPlanas,28,0.0021510567570416695,422.738338470459,18979.788620471954
VEN.24.13_1,Urachiche,24,0.001721920370201456,2557.811279296875,23584.67409133911
VEN.4.5_1,JoséAngelLamas,23,0.004345629094893513,9056.68994140625,37535.13562011719
VEN.4.1_1,Bolívar,20,0.001184961637229223,2445.218292236328,36297.75999832153
VEN.24.6_1,JoséAntonioPáez,17,0.003088841605092748,2097.2327728271484,21628.444546699524
VEN.12.11_1,Jacura,17,0.0015882854749946775,36.96586322784424,4021.803112387657
VEN.8.2_1,EzequielZomora,14,0.0017142781980216287,140.51613998413086,15776.684636116028
VEN.4.12_1,SanSebastián,12,0.0008324314170562795,1624.322509765625,23916.43445634842
VEN.14.2_1,Crespo,11,0.0032218098362739814,2805.378448486328,34235.732964515686
VEN.4.15_1,Sucre,9,0.000833463772857441,4805.11962890625,104583.06022644043
VEN.12.16_1,PalmaSola,7,0.00040146238434257214,88.9940185546875,6750.765319824219
VEN.14.3_1,Iribarren,6,0.00021909535809762755,3601.2880859375,11539.713386535645
VEN.16.4_1,Brión,4,0.0003860545475612402,57.22632598876953,7585.907472610474
VEN.24.1_1,ArístidesBastidas,4,0.0002893565440481411,742.379638671875,20039.42946243286
VEN.4.2_1,Camatagua,2,0.00018100827459528634,147.65896606445312,10710.112887740135
VEN.24.8_1,ManuelMonge,1,7.077620821911239e-05,12.72607135772705,14540.084333896637
VEN.4.17_1,Urdaneta,0,0.0,0.0,1669.9238908290863
VEN.16.5_1,Buroz,0,0.0,0.0,1805.441982269287
VEN.14.9_1,Urdaneta,0,0.0,0.0,5157.23215842247
